VSO Amount,Days Until Unlock,Date of Unlock,Withdrawal Address,Internal or External
250000,0.0,10/17/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,0.0,10/17/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,0.0,10/17/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,0.0,10/17/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
916666,0.0,10/17/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
916666,0.0,10/17/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
916666,0.0,10/17/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
916666,0.0,10/17/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
208333,0.0,10/17/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
208333,0.0,10/17/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
208333,0.0,10/17/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
208333,0.0,10/17/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
1,0.0,10/17/2021,0xaE778784228B799fa9560ea24fDcda6795205F27,External
1,0.0,10/17/2021,0x906935f4b42e632137504C0ea00D43C6442272bf,Unknown
208333,0.0,10/17/2021,0xaE778784228B799fa9560ea24fDcda6795205F27,External
208333,0.0,10/17/2021,0xaE778784228B799fa9560ea24fDcda6795205F27,External
208333,0.0,10/17/2021,0xaE778784228B799fa9560ea24fDcda6795205F27,External
208333,0.0,10/17/2021,0xaE778784228B799fa9560ea24fDcda6795205F27,External
10400000,0.0,10/17/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
33333,0.0,10/17/2021,0xb1bE473297660fCb4a3A92201b3E6BF788B0Ba61,Unknown
33333,0.0,10/17/2021,0xb1bE473297660fCb4a3A92201b3E6BF788B0Ba61,Unknown
33333,0.0,10/17/2021,0xb1bE473297660fCb4a3A92201b3E6BF788B0Ba61,Unknown
33333,0.0,10/17/2021,0xb1bE473297660fCb4a3A92201b3E6BF788B0Ba61,Unknown
170833,14.0,10/31/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,14.0,10/31/2021,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,14.0,10/31/2021,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,14.0,10/31/2021,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,14.0,10/31/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,14.0,10/31/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
916666,14.0,10/31/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
208333,14.0,10/31/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
158333,15.0,11/1/2021,0xaE778784228B799fa9560ea24fDcda6795205F27,External
791666,15.0,11/1/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
33333,15.0,11/1/2021,0x9e430dC2eDB9992E5d3917c661a4086FD77A1450,Unknown
20833,15.0,11/1/2021,0xaE778784228B799fa9560ea24fDcda6795205F27,External
170833,44.0,11/30/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,44.0,11/30/2021,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,44.0,11/30/2021,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,44.0,11/30/2021,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,44.0,11/30/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,44.0,11/30/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
916666,44.0,11/30/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
208333,44.0,11/30/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
158333,45.0,12/1/2021,0xaE778784228B799fa9560ea24fDcda6795205F27,External
791666,45.0,12/1/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
33333,45.0,12/1/2021,0x9e430dC2eDB9992E5d3917c661a4086FD77A1450,Unknown
170833,75.0,12/31/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,75.0,12/31/2021,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,75.0,12/31/2021,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,75.0,12/31/2021,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,75.0,12/31/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,,12/31/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
916666,,12/31/2021,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
208333,,12/31/2021,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
158333,,1/1/2022,0xaE778784228B799fa9560ea24fDcda6795205F27,External
791666,,1/1/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
33333,,1/1/2022,0x9e430dC2eDB9992E5d3917c661a4086FD77A1450,Unknown
170833,,1/31/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,,1/31/2022,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,,1/31/2022,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,,1/31/2022,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,,1/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,,1/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
916666,,1/31/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
208333,,1/31/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,Internal
158333,,2/1/2022,0xaE778784228B799fa9560ea24fDcda6795205F27,External
791666,,2/1/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
33333,,2/1/2022,0x9e430dC2eDB9992E5d3917c661a4086FD77A1450,Unknown
170833,,2/28/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
16666,,2/28/2022,0x0fecA26DF57fA876EFd8Afd57DA52B94a04bb489,External
12500,,2/28/2022,0xD55A5d574842E4aFff7470A60AF8343672cE6687,External
8333,,2/28/2022,0x1f4EB1a3C7A5777b1211F760D106734159F50ACB,External
208333,,2/28/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
250000,,2/28/2022,0x0A5E7C50eA6BB695F234e75D97D3381592B59C9F,External
916666,,2/28/2022,0x308D2Ac1Bab7D0211717F969602fBC26D286555A,Internal
