VSO Amount,Days Until Unlock,Cummulative VSO Unlocks
19662491.0,0,19662491.0
1791664.0,28,21454155.0
824999.0,29,22279154.0
158333.0,30,22437487.0
1791664.0,59,24229151.0
824999.0,60,25054150.0
158333.0,61,25212483.0
1791664.0,90,27004147.0
824999.0,91,27829146.0
158333.0,92,27987479.0
1791664.0,118,29779143.0
824999.0,119,30604142.0
158333.0,120,30762475.0
1791664.0,149,32554139.0
824999.0,150,33379138.0
158333.0,151,33537471.0
1791664.0,179,35329135.0
824999.0,180,36154134.0
158333.0,181,36312467.0
1791664.0,210,38104131.0
3991673.0,211,42095804.0
158333.0,212,42254137.0
416665.0,240,42670802.0
416665.0,271,43087467.0
416665.0,302,43504132.0
416665.0,332,43920797.0
